Ontology Name,Short Name,Domain,Used in Projects,Purpose,Competency Questions,License,Last update,Homepage,Ontology category,Ontology file,Reference (Paper),Citations,use cases,overlaps,what makes it common?,structural differences,special problem
PMD Core Ontology,PMDCO,Materials Science,"Know-Now, KupferDigital, StahlDigital, DiProgMag, DigiBatMat, GlasDigital, SensoTwin, LeBeDigital",knowledge transfer between MSE experts and ontologists,https://git.material-digital.de/ontologies/pmd-ontologies/-/tree/main/Partner%20project%20CQs,Unknown,20-Jan-23,https://github.com/materialdigital/core-ontology ,mid-level,https://raw.githubusercontent.com/materialdigital/core-ontology/main/pmd_core.ttl,http://ceur-ws.org/Vol-2941/paper11.pdf ,"2, https://scholar.google.de/scholar?cites=14776427507058570748&as_sdt=2005&sciodt=0,5&hl=en ","Tensile test, Heat treatment, boiling an egg",provo,Describe a workflow from the point of industry and academic,"modular, having input/output object","process, experimental and computational workflow"
Elementary Multiperspective Material Ontology,EMMO,A multidisciplinary ontology for applied sciences,"EMMC-CSA, SimDOME , MarketPlace, VIMMP,  OntoTrans, ReaxPro, OntoCommons, OYSTER, NanoMECommons ,OpenModel, Know-Now, iBain, KupferDigital, StahlDigital, SmaDi, DiProgMag, SensoTwin",represet current materials modelling knowledge,Unknown,CC BY 4.0,29-May-22,https://github.com/emmo-repo/EMMO ,top-level,https://raw.githubusercontent.com/emmo-repo/EMMO/master/emmo.ttl,,,"Process, Battery , Crystallography, Mechanical Testing, Microstructure, Atomistic and Electronic Modelling",,"multidisciplinary, good documentation, 
use of EMMO in domain ontologies",modular,"connection between the physical world, materials characterisation world and materials modelling world"
EMMO Mechanical Testing,EMMO_mechanical_testing,Mechanical Testing,"MarketPlace, Oyster, UrWerk, iBain, StahlDigital",represent mechanical testing,Unknown,CC BY 4.0,1-Jun-22,https://github.com/emmo-repo/domain-mechanical-testing ,domain-level,https://raw.githubusercontent.com/emmo-repo/domain-mechanical-testing/master/emmo-mechanical-testing.owl,,,mechanical testing,,using emmo as a top-level ontology,,
EMMO Microstructure,EMMO_microstructure,Metallic Microstructures,"iBain, StahlDigital","covering composition, particles, both stable (primary) and metastable (precipitates), grains, subgrains, grain boundaries & particle free zones (PFZs),texture, dislocations",Unknown,Unknown,11-Feb-20,https://github.com/jesper-friis/emmo-microstructure ,domain-level,https://raw.githubusercontent.com/jesper-friis/emmo-microstructure/master/emmo-microstructure.owl,,,metallic microstructures,,using emmo as a top-level ontology,,
Basic Formal Ontology,OBO,,"300 ontologies, 50 organizations, PubChem, ODE_AM, DIGITRUBBER","information retrieval, analysis and integration",Unknown,CC BY 4.0,16-Feb-22,https://github.com/BFO-ontology/BFO-2020 ,top-level,https://raw.githubusercontent.com/BFO-ontology/BFO-2020/master/21838-2/owl/bfo-2020.owl,"Arp, Robert, Barry Smith, and Andrew D. Spear. Building ontologies with basic formal ontology. Mit Press, 2015.","989, https://scholar.google.de/scholar?cites=12253744211858283950&as_sdt=2005&sciodt=0,5&hl=de",,,"top level ontology, used in many projects",OBO backbone,
Suggested Upper Merged Ontology,SUMO,,,,Unknown,GNU Public License,,,top-level,,https://www.semanticscholar.org/paper/The-Suggested-Upper-Merged-Ontology%3A-A-Large-for-Pease-Niles/8f69ac7e6b646714a356868191632d37e1c0be07,"404, https://www.semanticscholar.org/paper/The-Suggested-Upper-Merged-Ontology%3A-A-Large-for-Pease-Niles/8f69ac7e6b646714a356868191632d37e1c0be07",,,,,
"Descriptive Ontology for Linguistic and Cog-
nitive Engineering",DOLCE,,,,Unknown,GNU Public License,,http://www.loa.istc.cnr.it/dolce/overview.html,top-level,http://www.loa.istc.cnr.it/old/ontologies/DLP3971.zip,https://doi.org/10.1007/3-540-45810-7_18,"1646, https://scholar.google.de/scholar?cites=10257730654378951941&as_sdt=2005&sciodt=0,5&hl=en",,,,,
Semantic Sensor Network Ontology,SSN,Sensors,"SENSEI, SmartProducts, SPITFIRE FP7, SemsorGrid4Env, Exalted, CSIRO, https://w3c.github.io/sdw/ssn-usage/",describe sensors,Unknown,http://www.opengeospatial.org/ogc/Software,6-May-22,https://w3c.github.io/sdw/ssn/,domain-level,http://www.w3.org/ns/ssn/,https://doi.org/10.1016/j.websem.2012.05.003,"1112, https://www.sciencedirect.com/science/article/pii/S1570826812000571#section-cited-by","data discovery and linking, device discovery and selection, provenance and diagnosis, and device operation, tasking and programming–with a prototypical example in each","while there were a number of existing artefacts (twelve ontologies were reviewed) none covered the requirements of the use cases, Compton, M., Henson, C. A., Lefort, L., Neuhaus, H., & Sheth, A. P. (2009). A Survey of the Semantic
Specification of Sensors.
CEUR Workshop Proceedings, 522, 17-32.
https://corescholar.libraries.wright.edu/knoesis/664",A collaborative project between W3C and OGC.,"New modular version, the alignment to DOLCE-UltraLite (DUL) and the realisation of the core Stimulus–Sensor–Observation ontology design pattern",
SMART-Protocols,SP,Experiments,Unknown,reporting an experimental protocol,https://smartprotocols.github.io/queries/,CC BY 4.0,3-Dec-14,https://github.com/SMARTProtocols/SMART-Protocols,domain-level,http://vocab.linkeddata.es/SMARTProtocols/myDocumentation_SPdoc_18Abril2017/SmartProtocols_doc_V4.0.owl,10.1186/s13326-017-0160-y,"12, https://scholar.google.de/scholar?cites=15825585863801803212&as_sdt=2005&sciodt=0,5&hl=de",,,,"two ontology modules expressed in OWL, based on BFO",
Material Science and Engineering Ontology,MSEO,Material Sience and Engineering,"Materials Open Laboratory, LeBeDigital, KupferDigital",create machine and human readable sematic data which can be easily digested by other science domains,Unknown,Unknown,11-Mar-22,https://github.com/Mat-O-Lab/MSEO,middle-level,https://raw.githubusercontent.com/Mat-O-Lab/MSEO/main/MSEO_mid.ttl,,,Brinell Hardness Testing,BWMD,the mid and domain level modules of the Materials Sience and Engineering Ontology MSEO as well as Tools too transform experiment data,utilizes the Common Core Ontolog,
